state,fetched_at,mean_temp_00,mean_temp_01,mean_temp_02,mean_temp_03,mean_temp_04,mean_temp_05,mean_temp_06,mean_temp_07,mean_temp_08,mean_temp_09,mean_temp_10,mean_temp_11,annual_prcp,temp_range,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8
MA,1749951989.8152075,25.174647887323943,27.92887323943662,35.27957746478873,46.00140845070422,55.77884615384615,67.50712380113906,72.27343686868687,72.01942199775533,64.82649270482604,53.791599326599325,44.432056277056276,36.135000000000005,48.93414420336025,47.09878898136293,76.63139032263585,-13.282845601669427,13.424762362257969,105.2741699401313,23.78981107466297,-2.272213240054983,26.289568647379514,-28.21880371400616
MI,1749951989.8152075,20.537142857142857,22.71072646210333,43.30499515383308,50.66873547694311,57.67430772706514,67.50712380113906,72.27343686868687,72.01942199775533,64.82649270482604,53.791599326599325,44.432056277056276,36.135000000000005,44.63869047458586,51.73629401154402,98.51851619150959,44.7609017450839,2.8102547882493045,52.018547876006075,-8.192330240225127,-91.19836267755844,96.9844442340786,52.24424505627117
MN,1749951989.8152075,10.70777202072539,15.41796875,43.30499515383308,50.66873547694311,57.67430772706514,67.50712380113906,72.27343686868687,72.01942199775533,64.82649270482604,53.791599326599325,44.432056277056276,36.135000000000005,42.53249221691536,61.565664847961486,168.41024387099938,79.42961220260314,21.873632481446055,100.19124919745124,-0.08745846257783475,-124.38457945471829,214.90009616862534,143.76117013746133
MS,1749951989.8152075,44.10728155339805,47.911650485436894,55.25423563777994,50.66873547694311,57.67430772706514,67.50712380113906,72.27343686868687,72.01942199775533,64.82649270482604,53.791599326599325,44.432056277056276,36.135000000000005,52.691002193623945,36.13843686868687,-137.64436037258196,-12.579445045181048,89.81437179113982,-97.00267502780383,81.94076121980859,31.209065179357413,-203.4885682428405,-93.99161623020568
MO,1749951989.8152075,30.258139534883718,34.6609496124031,43.30499515383308,50.66873547694311,57.67430772706514,67.50712380113906,72.27343686868687,72.01942199775533,64.82649270482604,53.791599326599325,44.432056277056276,36.135000000000005,45.398222937716916,42.015297333803154,-4.593675540944975,-2.277377889425103,-19.38784348028328,-2.5592483399175263,-1.8135457713806735,-17.33024971210597,28.025352429037582,22.66677250144101
MT,1749951989.8152075,21.974618320610688,25.75714285714286,43.30499515383308,50.66873547694311,57.67430772706514,67.50712380113906,72.27343686868687,72.01942199775533,64.82649270482604,53.791599326599325,44.432056277056276,36.135000000000005,42.24890488896794,50.298818548076184,67.737632347963,21.003794524811617,-4.463248117961363,30.255521741916912,-27.855640368682433,-83.70588380470575,160.2857339820782,111.5589677966615
NE,1749951989.8152075,24.567357512953368,28.173979591836734,43.30499515383308,50.66873547694311,57.67430772706514,67.50712380113906,72.27343686868687,72.01942199775533,64.82649270482604,53.791599326599325,44.432056277056276,36.135000000000005,42.18303941059549,47.70607935573351,39.85504147392718,2.3212219017980957,-5.382409178748596,14.762202595640472,-32.44279355723003,-64.87138405793559,154.68392068297828,113.51316908727084
NV,1749951989.8152075,32.04541984732825,35.9942748091603,43.06823998795544,50.66873547694311,57.67430772706514,67.50712380113906,72.27343686868687,72.01942199775533,64.82649270482604,53.791599326599325,44.432056277056276,36.135000000000005,39.98264696128442,40.228017021358625,-6.602310021279893,20.647551441989133,-161.6679981677478,-45.97396034469669,-101.8627007213172,146.44305025340498,35.27049283918883,13.331445542970586
NH,1749951989.8152075,18.615384615384617,21.66442307692308,30.459615384615386,42.840384615384615,53.997115384615384,63.125510204081635,72.27343686868687,72.01942199775533,64.82649270482604,53.791599326599325,44.432056277056276,36.135000000000005,46.77001484282903,53.65805225330226,130.8501826738203,-4.4357246497416885,-24.461035745324093,128.11607283623425,40.03738267840856,48.317234188442114,108.07654873349237,-13.90327705823425
NJ,1749951989.8152075,30.000980392156862,32.530392156862746,40.16372549019607,50.65,60.353921568627456,69.59509803921569,74.2625,72.01942199775533,64.82649270482604,53.791599326599325,44.432056277056276,36.135000000000005,48.04576284746229,44.26151960784314,24.439714856581517,1.5255614668046802,-0.558363696840658,36.48039576256253,-0.5043829085324708,0.7568436564388322,-42.32272408826823,-10.132102077737436
